"Time","entrada ESP32"
2025-11-04 16:25:14,3628
2025-11-04 16:25:24,3628
2025-11-04 16:25:37,2909
2025-11-04 16:27:40,2909
2025-11-04 16:27:47,2893
2025-11-04 16:27:57,3457
2025-11-04 16:28:07,3762
2025-11-04 16:28:17,3906
